id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Софон;Игнатова;Iya16@yandex.ru;handle traffic settle;2025-03-17T18:13:17;32729;27075
2;Филимон;Лыткина;Osip.Makarov@yandex.ru;aside quietly;2025-03-17T16:22:23;5377;25822
3;Порфирий;Кошелева;Svyatopolk7@yahoo.com;often grave wash;2025-03-17T19:44:21;22121;32629
4;Демид;Михеев;Anatolii41@yandex.ru;bah hungry;2025-03-17T17:27:38;2128;2
5;Евстафий;Казаков;Elizar91@yandex.ru;phooey astride;2025-03-17T13:08:02;11147;13809
6;Владлен;Кулагина;Fedot_Sysoev@mail.ru;unlike;2025-03-17T16:42:30;8372;6584
7;Аристарх;Наумов;Vseslav83@ya.ru;recklessly concentration gulp;2025-03-18T08:10:19;13641;22172
8;Януарий;Денисов;Mefodii.Gavrilova77@yandex.ru;fog regular;2025-03-17T13:38:13;9451;4566
9;Ольга;Федосеева;Lazaruk.Avdeeva2@gmail.com;er before crushing;2025-03-17T09:51:24;14394;8447
10;Степан;Мясников;Osip.Tretukyakova71@mail.ru;which wolf;2025-03-17T18:08:19;29030;18950
